"","bin_val","Start","End","bin","Var2","Freq","Var1.1","Var2.1","Freq.1"
"214",54,2012-04-23,2012-05-08,"ndvi.54","zebra",211,"54","1",5
"215",54,2012-04-23,2012-05-08,"ndvi.54","buffalo",70,"54","0",434
"216",54,2012-04-23,2012-05-08,"ndvi.54","wildebeest",68,"54","0",434
"217",55,2012-05-09,2012-05-24,"ndvi.55","topi",6,"55","1",27
"218",55,2012-05-09,2012-05-24,"ndvi.55","hartebeest",43,"55","0",793
"219",55,2012-05-09,2012-05-24,"ndvi.55","wildebeest",537,"55","0",793
"220",55,2012-05-09,2012-05-24,"ndvi.55","gazelleThomsons",8,"55","1",27
"221",55,2012-05-09,2012-05-24,"ndvi.55","zebra",147,"55","1",27
"222",55,2012-05-09,2012-05-24,"ndvi.55","buffalo",79,"55","0",793
"223",56,2012-05-25,2012-06-09,"ndvi.56","topi",19,"56","1",26
"224",56,2012-05-25,2012-06-09,"ndvi.56","hartebeest",24,"56","0",1380
"225",56,2012-05-25,2012-06-09,"ndvi.56","zebra",314,"56","1",26
"226",56,2012-05-25,2012-06-09,"ndvi.56","gazelleThomsons",23,"56","1",26
"227",56,2012-05-25,2012-06-09,"ndvi.56","wildebeest",875,"56","0",1380
"228",56,2012-05-25,2012-06-09,"ndvi.56","buffalo",151,"56","0",1380
"229",57,2012-06-10,2012-06-25,"ndvi.57","topi",26,"57","1",46
"230",57,2012-06-10,2012-06-25,"ndvi.57","zebra",1072,"57","1",46
"231",57,2012-06-10,2012-06-25,"ndvi.57","hartebeest",34,"57","0",2191
"232",57,2012-06-10,2012-06-25,"ndvi.57","wildebeest",911,"57","0",2191
"233",57,2012-06-10,2012-06-25,"ndvi.57","gazelleThomsons",142,"57","1",46
"234",57,2012-06-10,2012-06-25,"ndvi.57","buffalo",52,"57","0",2191
"235",58,2012-06-26,2012-07-11,"ndvi.58","hartebeest",36,"58","0",1897
"236",58,2012-06-26,2012-07-11,"ndvi.58","topi",12,"58","1",44
"237",58,2012-06-26,2012-07-11,"ndvi.58","gazelleThomsons",576,"58","1",44
"238",58,2012-06-26,2012-07-11,"ndvi.58","zebra",819,"58","1",44
"239",58,2012-06-26,2012-07-11,"ndvi.58","buffalo",59,"58","0",1897
"240",58,2012-06-26,2012-07-11,"ndvi.58","wildebeest",439,"58","0",1897
"241",59,2012-07-12,2012-07-27,"ndvi.59","gazelleThomsons",457,"59","1",2
"242",59,2012-07-12,2012-07-27,"ndvi.59","buffalo",43,"59","0",701
"243",59,2012-07-12,2012-07-27,"ndvi.59","hartebeest",44,"59","0",701
"244",59,2012-07-12,2012-07-27,"ndvi.59","topi",25,"59","1",2
