"","SITEID","ARCX","ARCY","BINHAB","HABITAT","RIV.DIST.M","CONF.DIST.M","KOP.DIST.M","ROAD.DIST.M","AVG.TREE.10","PER.TREE.COV","lion.encount.dry","lion.encount.wet"
"119","L05",717491,9727280,"plains","grassland",1835.70386,1887.959105,2645.955216,526,89.1,4450,0.353324095299536,0.340273052671074
"120","L06",717269,9725021,"plains","grassland",1926.711107,2770.441423,2964.898576,144.3663518,1394.8,3871,0.353324095299536,0.016280025520568
"121","L07",717472,9722874,"plains","grassland",2922.795171,3017.95477,2544.337957,1070.770728,132.4,4423,0.183715255882978,0.355726172498034
"122","L08",716987,9720318,"plains","grassland",2634.167172,2887.452077,1447.317006,86.91659186,340.5,2884,0.285323434392308,0.355726172498034
"123","L09",717279,9718022,"plains","grassland",1032.086717,1394.412339,3359.367724,718.4699639,1500,5441,0.285323434392308,0.016280025520568
"124","L10",717449,9716523,"plains","grassland",282.041598,1867.790381,4601.829627,483.4615748,1500,4625,0.10160817850933,0.016280025520568
"125","L11",717168,9713790,"plains","grassland",1133.903773,2411.47866,6501.138516,2083.84916,13.3,3369,0.173208852481074,0
"126","L12",717370,9711304,"plains","grassland",141.3986915,134.311644,7082.222885,867.5667208,1200,4881,0.144270549462167,0.016280025520568
"127","L13",716909,9709067,"plains","grassland",2293.960548,2339.648446,5075.467368,56.9015054,262.7,3654,0.144270549462167,0.065754201215556
"128","M03",719685,9731630,"plains","grassland",126.6157666,1475.469166,1960.030852,4347.12503,10.9,5911,0.182103602750782,0.323993027150506
"129","M04",719629,9729236,"plains","grassland",139.4431948,488.1734171,713.0652017,2882.031631,27,5871,0.353324095299536,0.323993027150506
"130","M05",719495,9726939,"plains","grassland",504.662412,715.8010418,2268.305949,1177.228228,155.6,5282,0.353324095299536,0.340273052671074
"131","M06",719551,9725160,"plains","grassland",627.6000664,856.0752939,3820.538142,602.3465483,290.6,3811,0.353324095299536,0.340273052671074
"132","M07",719250,9722427,"plains","grassland",1173.037907,1214.171191,3428.269664,2456.491666,800,5123,0,0.355726172498034
"133","M08",719171,9720411,"plains","grassland",2392.604374,2420.429067,2631.398214,704.1586119,1500,3757,0.549641095311752,0.355726172498034
"134","M09",719247,9718492,"plains","grassland",2138.765742,3416.585182,2969.739662,383.0555494,1500,3017,0.651249273821082,0.355726172498034
"135","M10",719449,9715983,"plains","grassland",858.1348324,3873.00912,3818.178808,509.7483446,1500,3942,0.022485671520867,0.016280025520568
"136","M11",719574,9713559,"plains","grassland",2939.980976,3178.701239,4449.558742,2191.633159,452.1,1833,0.017151139918356,0.016280025520568
"137","M12",719551,9711367,"plains","grassland",2318.43148,2291.603849,5961.171508,2967.159913,1300,4468,0.083992481557362,0.016280025520568
"138","M13",719510,9709180,"plains","grassland",3137.328803,3147.406699,4841.868365,2268.334099,1500,4220,0.134176685526918,0
"139","N03",721745,9731503,"plains","grassland",528.259406,902.3212582,2013.741311,4846.672583,34.3,5760,0.20908825773492,0.323993027150506
"140","N04",721832,9729292,"plains","grassland",307.7935979,2651.722451,421.1605294,2692.402109,14.3,4262,0.182103602750782,0.323993027150506
"141","N05",721792,9727122,"plains","savannah",438.0985236,929.8923957,1843.890318,765.0054504,122.8,4086,0.182103602750782,0.323993027150506
"142","N06",721605,9724881,"plains","savannah",888.8421072,1304.613063,3922.610093,1319.553111,10.9,2187,0.182103602750782,0.016280025520568
"143","N07",721787,9722566,"plains","savannah",1288.844935,1327.666785,2443.00054,1442.025051,1500,2713,0,0.016280025520568
"144","N08",721765,9719753,"plains","savannah",2829.406667,3001.021898,232.9919526,5,264.4,4175,0.365925839428774,0.355726172498034
"145","N09",721346,9718454,"plains","savannah",2637.097731,4099.309552,1597.863026,2,601.8,2634,0.388411510949641,0.355726172498034
"146","N10",721396,9715831,"woodland","open woodland",1829.538754,3627.434913,1882.748257,578.7925593,1500,1907,0.388411510949641,0.355726172498034
"147","N11",721619,9713660,"woodland","open woodland",2125.708031,2619.798994,2879.563379,664.7814549,1500,2252,0.388411510949641,0.355726172498034
"148","N12",721774,9711291,"woodland","open woodland",2276.585973,3360.128802,4930.935066,1878.155804,1500,685,0.022485671520867,0.10039892623699
"149","N13",721830,9709149,"woodland","open woodland",2791.644478,5039.383176,5608.301174,2905.114354,1500,2956,0.139511217129429,0.084118900716422
"150","O04",723808,9729019,"woodland","open woodland",1229.652608,1909.967137,2402.017942,3482.193373,79.2,3567,0.20908825773492,0
"151","O05",723875,9727147,"woodland","open woodland",191.6431437,184.7836085,3307.440684,2472.413203,116.6,2899,0.182103602750782,0
"152","O06",723990,9724691,"woodland","open woodland",92.87975849,1267.515184,5066.871176,2999.904974,28,4017,0.182103602750782,0
"153","O07",724558,9722646,"woodland","open woodland",1106.337765,1433.947796,3719.236187,1174.636572,1500,3107,0.372531441416746,0.271627110777666
"154","O08",725138,9720939,"woodland","open woodland",3.246177589,2410.930654,3373.881936,313.7751412,1267.3,3892,0.190427838665964,0
"155","O09",724035,9717724,"woodland","open woodland",2.291880234,4152.801586,1763.45359,1550.182848,1500,4368,0.388411510949641,0.450171976897483
"156","O10",724129,9715922,"woodland","open woodland",658.9549125,2348.369393,151.7314321,2,1101.8,3615,0.388411510949641,0.534290877613905
"157","O11",724194,9713588,"woodland","open woodland",7.884882064,45.04663666,2138.231808,5,1368.2,2733,0.388411510949641,0.534290877613905
"158","O12",724003,9711433,"woodland","open woodland",56.24002637,2155.922868,4282.09073,1,1500,691,0.022485671520867,0.10039892623699
"159","O13",724068,9709168,"woodland","open woodland",977.8238934,4411.392295,6547.658724,1047.881039,1500,621,0.080428990848016,0.084118900716422
"160","P04",726153,9729197,"woodland","open woodland",1647.366205,2481.80787,4713.006585,5414.914789,31.7,3543,0.20908825773492,0
"161","P05",726196,9726921,"woodland","open woodland",287.7116137,1696.557085,5386.511644,4705.543461,238.9,5047,0.182103602750782,0
"162","P06",726197,9724844,"woodland","open woodland",1267.680638,1447.161309,6437.00419,3670.980535,45.3,5026,0.372531441416746,0.271627110777666
"163","P06",726197,9724844,"woodland","open woodland",1267.680638,1447.161309,6437.00419,3670.980535,45.3,5026,0.372531441416746,0.271627110777666
"164","P06",726197,9724844,"woodland","open woodland",1267.680638,1447.161309,6437.00419,3670.980535,40.4,5026,0.372531441416746,0.271627110777666
"165","P06",726197,9724844,"woodland","open woodland",1267.680638,1447.161309,6437.00419,3670.980535,40.4,5026,0.372531441416746,0.271627110777666
"166","P07",726264,9722453,"woodland","open woodland",470.5396885,881.0319182,5001.741903,1354.944875,81.5,4050,0.372531441416746,0.271627110777666
"167","P08",726263,9720390,"woodland","open woodland",1197.585835,1882.276997,4388.518308,549.5402718,1500,984,0.190427838665964,0.271627110777666
"168","P09",726291,9718075,"woodland","open woodland",1719.710178,3844.803579,3166.120341,2303.593645,1500,3419,0.388411510949641,0.016280025520568
"169","P10",726658,9715033,"woodland","open woodland",2827.237523,2825.151872,2749.381215,641.0527731,1500,594,0.388411510949641,0.194844730636439
"170","P11",726081,9713561,"woodland","open woodland",1823.753886,1843.605786,3009.630802,895.3821899,1500,1009,0.388411510949641,0.194844730636439
"171","P12",726304,9711404,"woodland","open woodland",2134.078255,2998.129283,4899.834667,2066.809947,1500,1480,0.03024478687846,0.10039892623699
"172","P13",725753,9708722,"woodland","open woodland",208.3773982,5085.224946,7215.461767,575.9261249,631.1,2737,0.080428990848016,0.149873101931978
"173","Q05",728571,9727010,"woodland","open woodland",949.5041948,821.6381572,7534.286816,6446.204161,100.1,4877,0,0
"174","Q06",728320,9724607,"woodland","open woodland",814.6080346,853.3871294,7886.871532,4138.00002,20.2,5063,0.372531441416746,0.07428283709706
"175","Q07",728510,9722377,"woodland","open woodland",940.5277372,1119.295889,7024.930521,2302.305992,85.9,3585,0.190427838665964,0.345909947874726
"176","Q08",728424,9720189,"woodland","open woodland",251.1492919,1326.778393,6168.225496,677.9901496,187.3,1899,0.190427838665964,0.345909947874726
"177","Q09",728435,9718338,"woodland","open woodland",1924.129326,2895.362417,5079.463261,715.2565476,1500,3429,0.190427838665964,0.345909947874726
"178","Q10",728531,9715888,"woodland","open woodland",3793.386326,4105.190224,4526.350866,80,1500,1243,0.022485671520867,0.110725829920017
"179","Q11",728513,9713551,"woodland","open woodland",4202.451514,4275.617538,5013.908811,806.6445527,1500,99,0.388411510949641,0.194844730636439
"180","Q12",728368,9711360,"woodland","open woodland",3683.107498,4687.49948,6182.413207,2963.799509,1500,672,0.03024478687846,0.194844730636439
"181","Q13",728540,9709168,"woodland","open woodland",1709.360664,6159.83347,6198.413298,3274.795434,1500,1072,0.007759115357593,0.084118900716422
"182","R05",730657,9726867,"woodland","open woodland",2681.43767,2869.155374,8675.8527,7253.91302,28,4039,0,0.07428283709706
"183","R06",730704,9724797,"woodland","open woodland",813.1162615,1929.624218,9421.970544,5529.433934,16.7,5041,0,0.07428283709706
"184","R07",730706,9722655,"woodland","open woodland",568.6890627,2046.196508,7412.815577,3966.369487,500,5438,0.190427838665964,0.07428283709706
"185","R08",730737,9720435,"woodland","open woodland",907.7953379,1451.451525,5419.740568,2313.620322,36.5,4572,0.190427838665964,0.345909947874726
"186","R09",730811,9718184,"woodland","open woodland",648.1659248,870.6187968,3642.568611,453.5747884,37,1963,0.190427838665964,0.345909947874726
"187","R10",730621,9715990,"woodland","open woodland",2800.747281,2898.829943,2969.762796,1154.025842,1500,1750,0.212913510186831,0.168728641496509
"188","R11",730807,9713715,"woodland","open woodland",4892.380869,4949.986625,3444.180016,1099.281219,1500,1313,0.022485671520867,0.252847542212931
"189","R12",730748,9711480,"woodland","open woodland",4826.466095,6839.661279,3906.271998,3240.104155,1500,489,0,0.178564705115871
"190","R13",730761,9709231,"woodland","open woodland",3032.755018,7838.165096,4045.864653,5426.017956,1500,578,0.170770384717871,0.178564705115871
"191","S07",732920,9722555,"woodland","open woodland",1502.390228,3052.270966,6740.276413,5249.630124,9.8,5300,0,0.07428283709706
"192","S08",733003,9720352,"woodland","open woodland",1465.788376,1686.401851,4545.052864,3533.827721,5.5,4887,0.404921780580581,0.345909947874726
"193","S09",732912,9718028,"woodland","open woodland",116.7788765,309.4496627,2302.490882,1690.503993,122.6,3636,0.404921780580581,0.345909947874726
"194","S10",733037,9715726,"woodland","open woodland",2354.088618,2569.571395,557.1117189,218.0059961,305.1,2510,0.404921780580581,0.168728641496509
"195","S11",733253,9713559,"woodland","open woodland",4153.693306,4579.079393,2140.479118,1803.337097,82.5,645,0,0.168728641496509
"196","S12",732914,9711345,"woodland","open woodland",5741.969764,6557.527433,100,3936.697952,264,2872,0.163011269360278,0.178564705115871
"197","S13",733052,9708920,"woodland","open woodland",3619.45704,7111.011372,20,6295.605533,315.4,1811,0.170770384717871,0.178564705115871
"198","T08",735260,9720293,"woodland","open woodland",191.3113748,209.8718933,4707.636671,3534.516921,22.5,5167,0.404921780580581,0.07428283709706
"199","T09",735237,9718111,"woodland","open woodland",652.0656279,1493.762958,316,1470.471084,27.6,4858,0.404921780580581,0.345909947874726
"200","T10",735099,9715716,"woodland","open woodland",1445.9463,1744.980749,1312.355304,583.5975066,58.7,3125,0.404921780580581,0.168728641496509
"201","T11",734120,9714240,"woodland","open woodland",3152.560845,3495.236439,1478.61308,1548.909612,44.3,1720,0.214493941914617,0.168728641496509
"202","T12",735287,9711284,"woodland","open woodland",4404.567588,4689.805327,661.3774946,4308.497599,1500,1090,0.163011269360278,0.168728641496509
"203","T13",736086,9708440,"woodland","open woodland",4055.751973,4043.325112,0,4178.888492,1500,1772,0.163011269360278,0.178564705115871
"204","U09",737469,9718172,"woodland","open woodland",842.5692201,1670.407343,4393.212517,1832.268052,25.1,885,0.404921780580581,0.07428283709706
