"","bin_val","Start","End","bin","Var2","Freq","Var1.1","Var2.1","Freq.1"
"189",50,2012-02-18,2012-03-05,"ndvi.50","gazelleThomsons",172,"50","1",51
"190",50,2012-02-18,2012-03-05,"ndvi.50","zebra",592,"50","1",51
"191",50,2012-02-18,2012-03-05,"ndvi.50","buffalo",107,"50","0",1399
"192",50,2012-02-18,2012-03-05,"ndvi.50","wildebeest",501,"50","0",1399
"193",51,2012-03-06,2012-03-21,"ndvi.51","topi",19,"51","1",21
"194",51,2012-03-06,2012-03-21,"ndvi.51","hartebeest",36,"51","0",1043
"195",51,2012-03-06,2012-03-21,"ndvi.51","wildebeest",492,"51","0",1043
"196",51,2012-03-06,2012-03-21,"ndvi.51","gazelleThomsons",83,"51","1",21
"197",51,2012-03-06,2012-03-21,"ndvi.51","zebra",350,"51","1",21
"198",51,2012-03-06,2012-03-21,"ndvi.51","buffalo",84,"51","0",1043
"199",52,2012-03-22,2012-04-06,"ndvi.52","topi",15,"52","1",1
"200",52,2012-03-22,2012-04-06,"ndvi.52","hartebeest",96,"52","0",504
"201",52,2012-03-22,2012-04-06,"ndvi.52","zebra",128,"52","1",1
"202",52,2012-03-22,2012-04-06,"ndvi.52","gazelleThomsons",122,"52","1",1
"203",52,2012-03-22,2012-04-06,"ndvi.52","wildebeest",86,"52","0",504
"204",52,2012-03-22,2012-04-06,"ndvi.52","buffalo",58,"52","0",504
"205",53,2012-04-07,2012-04-22,"ndvi.53","topi",13,"53","1",38
"206",53,2012-04-07,2012-04-22,"ndvi.53","hartebeest",34,"53","0",976
"207",53,2012-04-07,2012-04-22,"ndvi.53","zebra",308,"53","1",38
"208",53,2012-04-07,2012-04-22,"ndvi.53","wildebeest",565,"53","0",976
"209",53,2012-04-07,2012-04-22,"ndvi.53","gazelleThomsons",40,"53","1",38
"210",53,2012-04-07,2012-04-22,"ndvi.53","buffalo",54,"53","0",976
"211",54,2012-04-23,2012-05-08,"ndvi.54","topi",10,"54","1",0
"212",54,2012-04-23,2012-05-08,"ndvi.54","hartebeest",27,"54","0",269
"213",54,2012-04-23,2012-05-08,"ndvi.54","gazelleThomsons",21,"54","1",0
"214",54,2012-04-23,2012-05-08,"ndvi.54","zebra",124,"54","1",0
"215",54,2012-04-23,2012-05-08,"ndvi.54","buffalo",43,"54","0",269
"216",54,2012-04-23,2012-05-08,"ndvi.54","wildebeest",44,"54","0",269
"217",55,2012-05-09,2012-05-24,"ndvi.55","topi",3,"55","1",17
"218",55,2012-05-09,2012-05-24,"ndvi.55","hartebeest",24,"55","0",461
"219",55,2012-05-09,2012-05-24,"ndvi.55","wildebeest",305,"55","0",461
"220",55,2012-05-09,2012-05-24,"ndvi.55","gazelleThomsons",6,"55","1",17
"221",55,2012-05-09,2012-05-24,"ndvi.55","zebra",85,"55","1",17
"222",55,2012-05-09,2012-05-24,"ndvi.55","buffalo",55,"55","0",461
"223",56,2012-05-25,2012-06-09,"ndvi.56","topi",8,"56","1",19
"224",56,2012-05-25,2012-06-09,"ndvi.56","hartebeest",14,"56","0",834
"225",56,2012-05-25,2012-06-09,"ndvi.56","zebra",196,"56","1",19
"226",56,2012-05-25,2012-06-09,"ndvi.56","gazelleThomsons",16,"56","1",19
"227",56,2012-05-25,2012-06-09,"ndvi.56","wildebeest",517,"56","0",834
"228",56,2012-05-25,2012-06-09,"ndvi.56","buffalo",102,"56","0",834
"229",57,2012-06-10,2012-06-25,"ndvi.57","topi",19,"57","1",29
"230",57,2012-06-10,2012-06-25,"ndvi.57","zebra",650,"57","1",29
"231",57,2012-06-10,2012-06-25,"ndvi.57","hartebeest",23,"57","0",1433
"232",57,2012-06-10,2012-06-25,"ndvi.57","wildebeest",620,"57","0",1433
"233",57,2012-06-10,2012-06-25,"ndvi.57","gazelleThomsons",114,"57","1",29
"234",57,2012-06-10,2012-06-25,"ndvi.57","buffalo",36,"57","0",1433
"235",58,2012-06-26,2012-07-11,"ndvi.58","hartebeest",22,"58","0",1129
"236",58,2012-06-26,2012-07-11,"ndvi.58","topi",8,"58","1",28
"237",58,2012-06-26,2012-07-11,"ndvi.58","gazelleThomsons",382,"58","1",28
"238",58,2012-06-26,2012-07-11,"ndvi.58","zebra",444,"58","1",28
"239",58,2012-06-26,2012-07-11,"ndvi.58","buffalo",35,"58","0",1129
"240",58,2012-06-26,2012-07-11,"ndvi.58","wildebeest",266,"58","0",1129
"241",59,2012-07-12,2012-07-27,"ndvi.59","gazelleThomsons",336,"59","1",1
"242",59,2012-07-12,2012-07-27,"ndvi.59","buffalo",25,"59","0",473
"243",59,2012-07-12,2012-07-27,"ndvi.59","hartebeest",33,"59","0",473
"244",59,2012-07-12,2012-07-27,"ndvi.59","topi",17,"59","1",1
"245",59,2012-07-12,2012-07-27,"ndvi.59","zebra",37,"59","1",1
"246",59,2012-07-12,2012-07-27,"ndvi.59","wildebeest",26,"59","0",473
"247",60,2012-07-28,2012-08-12,"ndvi.60","gazelleThomsons",523,"60","1",0
"248",60,2012-07-28,2012-08-12,"ndvi.60","buffalo",35,"60","0",646
"249",60,2012-07-28,2012-08-12,"ndvi.60","wildebeest",18,"60","0",646
"250",60,2012-07-28,2012-08-12,"ndvi.60","hartebeest",45,"60","0",646
"251",60,2012-07-28,2012-08-12,"ndvi.60","zebra",13,"60","1",0
"252",60,2012-07-28,2012-08-12,"ndvi.60","topi",12,"60","1",0
"253",61,2012-08-13,2012-08-28,"ndvi.61","buffalo",25,"61","0",618
"254",61,2012-08-13,2012-08-28,"ndvi.61","zebra",7,"61","1",0
"255",61,2012-08-13,2012-08-28,"ndvi.61","wildebeest",27,"61","0",618
"256",61,2012-08-13,2012-08-28,"ndvi.61","gazelleThomsons",480,"61","1",0
"257",61,2012-08-13,2012-08-28,"ndvi.61","topi",14,"61","1",0
"258",61,2012-08-13,2012-08-28,"ndvi.61","hartebeest",65,"61","0",618
"259",62,2012-08-29,2012-09-13,"ndvi.62","wildebeest",14,"62","0",290
"260",62,2012-08-29,2012-09-13,"ndvi.62","buffalo",57,"62","0",290
"261",62,2012-08-29,2012-09-13,"ndvi.62","zebra",37,"62","1",3
"262",62,2012-08-29,2012-09-13,"ndvi.62","hartebeest",37,"62","0",290
"263",62,2012-08-29,2012-09-13,"ndvi.62","topi",23,"62","1",3
"264",62,2012-08-29,2012-09-13,"ndvi.62","gazelleThomsons",125,"62","1",3
"265",63,2012-09-14,2012-09-29,"ndvi.63","wildebeest",20,"63","0",368
"266",63,2012-09-14,2012-09-29,"ndvi.63","hartebeest",56,"63","0",368
"267",63,2012-09-14,2012-09-29,"ndvi.63","buffalo",53,"63","0",368
"268",63,2012-09-14,2012-09-29,"ndvi.63","gazelleThomsons",149,"63","1",2
"269",63,2012-09-14,2012-09-29,"ndvi.63","zebra",70,"63","1",2
"270",63,2012-09-14,2012-09-29,"ndvi.63","topi",22,"63","1",2
"271",64,2012-09-30,2012-10-15,"ndvi.64","wildebeest",19,"64","0",626
"272",64,2012-09-30,2012-10-15,"ndvi.64","zebra",226,"64","1",14
"273",64,2012-09-30,2012-10-15,"ndvi.64","hartebeest",41,"64","0",626
"274",64,2012-09-30,2012-10-15,"ndvi.64","topi",8,"64","1",14
"275",64,2012-09-30,2012-10-15,"ndvi.64","gazelleThomsons",307,"64","1",14
"276",64,2012-09-30,2012-10-15,"ndvi.64","buffalo",39,"64","0",626
"277",65,2012-10-16,2012-10-31,"ndvi.65","wildebeest",27,"65","0",746
"278",65,2012-10-16,2012-10-31,"ndvi.65","hartebeest",47,"65","0",746
"279",65,2012-10-16,2012-10-31,"ndvi.65","gazelleThomsons",426,"65","1",14
"280",65,2012-10-16,2012-10-31,"ndvi.65","zebra",204,"65","1",14
"281",65,2012-10-16,2012-10-31,"ndvi.65","topi",13,"65","1",14
"282",65,2012-10-16,2012-10-31,"ndvi.65","buffalo",43,"65","0",746
"283",66,2012-11-01,2012-11-16,"ndvi.66","wildebeest",330,"66","0",993
"284",66,2012-11-01,2012-11-16,"ndvi.66","zebra",450,"66","1",27
"285",66,2012-11-01,2012-11-16,"ndvi.66","hartebeest",30,"66","0",993
